vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;601123;;Armkuddar;SIM & BAD;;;Swimming;Armkuddar uppblåsbara 11-15 kg;Uppblåsbara. Mycket hög kvalitet. Dubbla luftkammrar. För 4 vikter.;;;;;111.52;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/601123;
;601124;;Armkuddar;SIM & BAD;;;Swimming;Armkuddar uppblåsbara 15-30 kg;Uppblåsbara. Mycket hög kvalitet. Dubbla luftkammrar. För 4 vikter.;;;;;111.52;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/601124;
;601125;;Armkuddar;SIM & BAD;;;Swimming;Armkuddar uppblåsbara 30-60 kg;Uppblåsbara. Mycket hög kvalitet. Dubbla luftkammrar. För 4 vikter.;;;;;126.28;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/601125;
;601135;;Simplatta Classic;SIM & BAD;;;Swimming;Simplatta Classic - Medium;Simplattan Classic finns i fyra storlekar och används för bensparksträning och i simskolan. Foammaterialets fina yta gör att den inte skaver.;;;;;168.92;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601135;
;601136;;Simplatta Classic;SIM & BAD;;;Swimming;Simplatta Classic - X-large;Simplattan Classic finns i fyra storlekar och används för bensparksträning och i simskolan. Foammaterialets fina yta gör att den inte skaver.;;;;;239.44;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601136;
;601238;;Gympatema;FÖRBRUKN;;;Other;Gympatema;De 2 pedagogerna Mimmi Alburg och Gun Ståhl har i denna bok sammanställt sina erfarenheter och idéer i 30 olika program som bygger olika teman. Boken är utmärkt att använda som idébank. Riktar sig till åldersgrupperna förskola, F-3 och 3-6 år.;;;;;388.68;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601238;
;601248;;Förvaringsvagn ALU;SIM & BAD;;;Storage;Förvaringsvagn liten m hjul;Rejäl förvaringsvagn i aluminium. Gott om plats för dina simprodukter. Kvalitetsvagn som är lätt och smidig. På hjul. Finns i två storlekar.;;;;;17,954.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601248;
;601249;;Armkuddar;SIM & BAD;;;Swimming;Armkuddar uppblåsbara 60+ kg;Uppblåsbara. Mycket hög kvalitet. Dubbla luftkammrar. För 4 vikter.;;;;;126.28;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/601249;
;601306;;Returhäck UNISPORT 5-p;FRIIDROTT;;;Running;Returhäckar Mini 5-p;Ett underbart hjälpmedel vid spänstträning. Självresande i samtliga höjder och på alla underlag. Tillverkad i tålig aluminiumkonstruktion. Ihopfällbar, höj- och sänkbar. Med snäpplås. Finns i 3 olika modeller som säljs i 5-pack och styckvis (se art 320080, 320081 och 320082 för styckvis).;;;;;1,473.54;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601306;
;601307;;Returhäck UNISPORT 5-p;FRIIDROTT;;;Running;Returhäckar Midi 5-p;Ett underbart hjälpmedel vid spänstträning. Självresande i samtliga höjder och på alla underlag. Tillverkad i tålig aluminiumkonstruktion. Ihopfällbar, höj- och sänkbar. Med snäpplås. Finns i 3 olika modeller som säljs i 5-pack och styckvis (se art 320080, 320081 och 320082 för styckvis).;;;;;1,819.58;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601307;
;601308;;Returhäck UNISPORT 5-p;FRIIDROTT;;;Running;Returhäckar Maxi 5-p;Ett underbart hjälpmedel vid spänstträning. Självresande i samtliga höjder och på alla underlag. Tillverkad i tålig aluminiumkonstruktion. Ihopfällbar, höj- och sänkbar. Med snäpplås. Finns i 3 olika modeller som säljs i 5-pack och styckvis (se art 320080, 320081 och 320082 för styckvis).;;;;;2,156.60;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601308;
;601310;;Reaktionsbollar;FÖRBRUKN;;;Other;10-pack Reaktionsbollar;Reaktionsbollar som är 65 mm i diameter. Små bollar med oregelbunden form som gör att de går i oplanerad riktning. Bra att använda för att träna och förbättra sina reflexer. Säljs per styck eller i 10-pack.;;;;;546.12;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601310;
;601314;;Bollar till Sticky Ball;FÖRBRUKN;;;Play & Games;Röda bollar till Sticky Ball;6-pack extra bollar till vårt populära spel Sticky Ball (se art 601316). Finns både som röda och gula.;;;;;117.26;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601314;
;601315;;Bollar till Sticky Ball;FÖRBRUKN;;;Play & Games;Gula bollar till Sticky Ball;6-pack extra bollar till vårt populära spel Sticky Ball (se art 601316). Finns både som röda och gula.;;;;;117.26;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601315;
;601316;;Sticky Ball-set;FÖRBRUKN;;;Play & Games;Sticky Ball, komplett set;Rantzows Sticky Ball är ett spel som innehåller 12 västar och 12 bollar. Bollarna har kardborre som gör att de fäster på motståndarens väst vid träff. Leken bidrar till mycket rörelse och används med fördel i kombination med övriga redskap.;;;;;555.14;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601316;
;601327;;Streetbasketmål Goose Neck Kort;BASKET;;;Basketball;Streetbasketmål Goose Neck Kort;Ett av marknadens mest stabila streetbasketmål i en något lägre modell (2,73 meter upp till ringen). Mycket kraftigt utebasketstativ som tål hård belastning, upp till 280 kg. Stolpen placeras i markgjuten hylsa. Levereras komplett med galvaniserad stolpe, hylsa, ståltavla, kraftig ring och nät. Stolpens mått BxH 114x4000 mm. Tavlans mått BxH 1350x900 mm. Hylsans djup 800 mm.;;;;;11,631.70;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601327;
;601363;;Rengöringsborste till PIXOFF;RESERVDEL;;;Ball sport;Rengöringsborste PIXOFF;Extra borste till PixOff (se art 600724).;;;;;909.38;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601363;
;601449;;Beachfotboll ALL IN SPORT;BOLLAR;;;Football;Beachfotboll ALL IN SPORT;Mjukare än en traditionell fotboll. Avsedd för barfotaspel såväl inne som ute. Diam. 21 cm. Vikt 380-390 g.;;;;;167.28;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601449;
;601537;;Linjeringssats för Speedminton;BADMINTON;;;Speedminton;Linjeringssats för Speedminton;Komplett banmarkerings-set för Speedminton (2 rutor).  Varje ruta är 5,5 x 5,5 meter. Levereras i väska innehållande 2 st fluorescerande linor (Bredd 2,5 cm) och 8  markfästen i stål, samt instruktioner.;;;;;314.06;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601537;
;601542;;Fotboll ALL IN SPORT Club 10-p + Bag;FOTBOLL;;;Football;Fotboll ALL IN SPORT Club 10-p + Bag;Bra prisvärd allvädersboll med slitstark yta. Lämplig för skolan och de lägre serierna. 10- pack. Levereras med stor bollbag! Storlek 4.;;;;;1,131.60;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601542;
;601554;;Dropin Hood;FÖRBRUKN;;;Play & Games;Dropin Hood - kastspel;Ett roligt kastspel som kan spelas på en mängd olika sätt. Underhållande för alla åldrar. Innehåller 6 golfpilar, 3 målsnören och 9 peggar. Förpackat i väska.;;;;;303.4;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601554;
;601566;;Bounce´n Learn 6-p;BADMINTON;;;Badminton;Bounce´n Learn 6-p;Bounce`n Learn-bollen utvecklar bollkänslan på ett roligt sätt! Bollen studsar på jämna, hårda underlag vilket gör att spelet lättare hålls igång och behovet av nät eller bana minskar.;;;;;141.86;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/601566;
;601601;;Badmintonset YAMASAKI;BADMINTON;;;Badminton;Badmintonset YAMASAKI;Allt du behöver för badmintonspelet till förmånligt pris. Innehåller: 10 racketar Yamasaki School och 12 bollar Yamasaki Speed. Rejäl väska med dragkedjefack, avtagbar axelrem och bärhandtag.;;;;;1,138.16;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601601;
;601608;;Klassens favoriter;FÖRBRUKN;;;Literature;Klassens favoriter;Uppföljare till Klassens Idrottsdagbok. Ska inspirera till varierande och roliga idrottslektioner. 124 sidor fyllda med barnens verkliga favoritaktiviteter, bollekar, cirkelträning, redskapgymnastik, konditionsövningar, lagaktiviteter och motorik mm.;;;;;405.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601608;
;601648;;Visselpipa ACME 560;FÖRBRUKN;;;Other;Visselpipa Acme 560;Den populära ACME-pipan är en klassisk modell med mycket bra ljud. Exkl. halssnodd som säljs separat (se art 312796).;;;;;68.06;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601648;
;601650;;Första hjälpen kit- Medium;FOTBOLL;;;Medical equipment;Första hjälpen-kit CEDERROTH Medium;Tålig väska i gummiliknande material. Innehåller: 1 Cederroth 4-in-1 Blodstoppare, 1 Cederroth 4-in-1 mini Blodstoppare, 10 Salvequick Plåster, 6 Salvequick Sårtvättare, 4 Salvequick Maxi Cover, 1 andningsmask, 2 Safety Hand Cleanser, 2 par handskar, 1 räddningsfilt, 1 elastisk binda, 1 Cederroth Burn Gel Dressing, 1 sax, 1 instruktion.;;;;;733.9;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601650;
;601652;;Hopprep ALL IN SPORT;FÖRBRUKN;;;Other;Hopprep Träning ALL IN SPORT;3000 mm långt. Med kraftiga plasthandtag och plastad stålwire som gör att det håller på alla underlag. Perfekt på asfalt och grus.;;;;;106.6;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601652;
;601653;;Hopprep med trähandtag;FÖRBRUKN;;;Other;Hopprep Träning med trähandtag;2800 mm långt hopprep av tvinnat syntetband och med trähandtag. Handtagen går att skruva isär för att justera längden på repet. Säljes styckvis.;;;;;45.92;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601653;
;601677;;Speedmintonset School;BADMINTON;;;Speedminton;Speedmintonset School;Med vårt skolset kan hela klassen spela Speedminton. Innehåller: 10 speedracketar School i blandade färger, 30 bollar (10 Match, 10 Fun Speeder, 10 Heli Speeder), 40 koner, praktisk sportbag och instruktioner.;;;;;3,230.80;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601677;
;601678;;Speedmintonbollar Mix 5-pack;BADMINTON;;;Speedminton;Speedmintonbollar 5-pack Mix;Ett urval av olika bollvarianter som används i Speedminton. Innehåller: 1 Fun Speeder för kort avstånd, 2 Match Speeder för matchspel, 1 Cross Speeder för längre avstånd, 1 Night Speeder som lyser vid mörkerspel och 1 speedboll stabilatorring.;;;;;172.2;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/601678;
;601727;;Kidsvolley startset;VOLLEYBOLL;;;Volleyball;Kidsvolley startset;Vårt startset innehåller allt du behöver för att börja spela Kidsvolley; 6 MIKASA Kids SKV 5, 1 kidsvolleyband 26 m, 1 kidsvolleybingo, 40 axelband med längd 50 cm i 4 olika färger på förvaringsring samt kursmaterial. Allt packeterat i kraftig nylonväska med dragkedja och dubbla handtag.;;;;;3,230.80;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601727;
;601748;;Åklappar STIGA 10-p;FÖRBRUKN;;;Play & Games;Åklappar Stiga 10-pack;10-pack med åklappar från STIGA i blandade färger. Perfekt att ha med ut i backen när snön äntligen faller!;;;;;264.04;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/601748;
;601751;;Innebandyklubba CAMPUS 36;INNEBANDY;;;Floorball;Innebandyklubba CAMPUS 36;Innebandyklubba med rakt blad som är skålat på båda sidorna. Flex: 36. Kompositskaft utan grepplinda. Finns i 2 längder. Säljs även i set.;;;;;172.2;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601751;
;601752;;Innebandyset CAMPUS 36;INNEBANDY;;;Floorball;Innebandyset CAMPUS 36;Set med 12 innebandyklubbor i 2 olika färger samt 10 bollar. Rakt blad som är skålat på båda sidorna. Kompositskaft med grepplinda. Finns i 2 längder. Flex: 36 (mjukt). Bollar Campus med slät yta. Klubborna säljs även styckvis i blandade färger.;;;;;1,943.40;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601752;
;601754;;Innebandyboll SALMING Campus 10-p;INNEBANDY;;;Floorball;Innebandyboll CAMPUS 10-p;10-pack IFF-certifierade vita innebandybollar med slät yta.;;;;;131.2;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/601754;
;601755;;Gymbänk MATRIX FW-151 Flat bench;STYRKETRÄN;;;Other;Gymbänk Matrix FW-151 Flat Bench;Flat Bench har en trepunkts fotkontakt för enkel fotplacering. LxBxH 155x46x56 cm. Vikt 35 kg.;;;;;8,966.70;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601755;
;601756;;Matrix G1 FW-153 Adjustable Incline Bench;STYRKETRÄN;;;Other;Matrix G1 FW-153 Adjustable Incline Bench;Träningsbänk med enkel justering i 6 positioner – från 0 till 75 grader. Sittdynan har fast läge i 15 grader.Integrerade hjul för att lättare förflytta bänken. Mått 154 x 62 x 47 cm. Svart.;;;;;14,271.28;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601756;
;601757;;Gymbänk MATRIX  FW-155 Preacher curl;STYRKETRÄN;;;Other;Gymbänk Matrix G1 FW-155 Preacher Curl;Med armbågsdyna i 55-gradig vinkel för optimal och ergonomisk riktig träning. Den justerbara sittdynan är vinklad 10 grader för ökad stabilitet och komfort. LxBxH 119x71x94 cm. Vikt 38 kg.;;;;;13,214.30;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601757;
;601758;;Matrix G1 FW-162 Back Extension;STYRKETRÄN;;;Other;Matrix G1 FW-162 Back Extension;Ryggbänk vinklad i 45 grader för enkel på- och avstigning. Twist-pull-låsning för bättre stabilitet. Mått: 128 x 74 x 86 cm Svart.;;;;;11,294.68;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601758;
;601759;;Gymbänk MATRIX  FW-164 Olympic Incline bench;STYRKETRÄN;;;Other;Gymbänk Matrix G1 FW-164 Olympic Incline Bench;Vinklad 30 grader för att optimera träningsmöjligheter. Justerbar sits ger fininställning för olika kroppsstorlekar. LxBxH 137x175x135 cm. Vikt 68 kg.;;;;;16,687.82;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601759;
;601760;;Gymbänk MATRIX FW-163 Olympic Flat bench;STYRKETRÄN;;;Other;Gymbänk Matrix G1 FW-163 Olympic Flat Bench;Vinklad ram ger lättare åtkomst för medtränare. Fotstödet ger ökad stabilitet åt kortare användare. Förvaringsställ i standardvikt. LxBxH 180x175x124 cm. Vikt 79 kg.;;;;;17,570.96;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601760;
;601761;;Innebandyboll SALMING Aero 10-p;INNEBANDY;;;Floorball;Innebandyboll AERO 10-p;10-pack med IFF-certifierade vita innebandybollar med dimplar som gör dem snabbare än en boll med slät yta.;;;;;172.2;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/601761;
;601763;;Innebandyklubba CAMPUS 36;INNEBANDY;;;Floorball;Innebandyklubba CAMPUS 36;Innebandyklubba med rakt blad som är skålat på båda sidorna. Flex: 36. Kompositskaft utan grepplinda. Finns i 2 längder. Säljs även i set.;;;;;172.2;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601763;
;601764;;Innebandyset CAMPUS 36;INNEBANDY;;;Floorball;Innebandyset CAMPUS 36;Set med 12 innebandyklubbor i 2 olika färger samt 10 bollar. Rakt blad som är skålat på båda sidorna. Kompositskaft med grepplinda. Finns i 2 längder. Flex: 36 (mjukt). Bollar Campus med slät yta. Klubborna säljs även styckvis i blandade färger.;;;;;1,943.40;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601764;
;601766;;Innebandyklubba CAMPUS 36 Grip;INNEBANDY;;;Floorball;Innebandyklubba CAMPUS 36;Innebandyklubba med rakt blad som är skålat på båda sidorna. Kompositskaft med grepplinda. Flex: 36. Finns i 3 längder. Säljs även i set.;;;;;211.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601766;
;601767;;Innebandyset CAMPUS 36 Grip;INNEBANDY;;;Floorball;Innebandyset CAMPUS 36;Set med 12 innebandyklubbor i 2 olika färger samt 10 bollar. Rakt blad som är skålat på båda sidorna. Kompositskaft utan grepplinda. Finns i 2 längder. Flex: 36 (mjukt). Bollar Campus med slät yta. Klubborna säljs även styckvis i blandade färger.;;;;;2,018.02;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601767;
;601769;;Innebandyklubba CAMPUS 36 Grip;INNEBANDY;;;Floorball;Innebandyklubba CAMPUS 36;Innebandyklubba med rakt blad som är skålat på båda sidorna. Kompositskaft med grepplinda. Flex: 36. Finns i 3 längder. Säljs även i set.;;;;;211.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601769;
;601770;;Innebandyset CAMPUS 36 Grip;INNEBANDY;;;Floorball;Innebandyset CAMPUS 36;Set med 12 innebandyklubbor i 2 olika färger samt 10 bollar. Rakt blad som är skålat på båda sidorna. Kompositskaft utan grepplinda. Finns i 2 längder. Flex: 36 (mjukt). Bollar Campus med slät yta. Klubborna säljs även styckvis i blandade färger.;;;;;1,981.12;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601770;
;601772;;Innebandyklubba CAMPUS 34;INNEBANDY;;;Floorball;Innebandyklubba CAMPUS 34;Innebandyklubba med rakt blad som är skålat på båda sidorna. Koniskt kompositskaft med grepplinda. Finns i 2 längder. Flex: 34 (medel). Klubban säljs även i set.;;;;;223.04;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601772;
;601773;;Innebandyset CAMPUS 34;INNEBANDY;;;Floorball;Innebandyset CAMPUS 34;Set med 10 innebandyklubbor i 2 olika färger samt 10 bollar. Rakt blad som är skålat på båda sidorna. Koniskt kompositskaft med grepplinda. Finns i 2 längder. Flex: 34 (medel). Bollar Campus med slät yta. Klubborna säljs även styckvis i blandade färger.;;;;;2,273.86;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601773;
;601775;;Innebandyklubba CAMPUS 34;INNEBANDY;;;Floorball;Innebandyklubba CAMPUS 34;Innebandyklubba med rakt blad som är skålat på båda sidorna. Koniskt kompositskaft med grepplinda. Finns i 2 längder. Flex: 34 (medel). Klubban säljs även i set.;;;;;223.04;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601775;
;601776;;Innebandyset CAMPUS 34;INNEBANDY;;;Floorball;Innebandyset CAMPUS 34;Set med 10 innebandyklubbor i 2 olika färger samt 10 bollar. Rakt blad som är skålat på båda sidorna. Koniskt kompositskaft med grepplinda. Finns i 2 längder. Flex: 34 (medel). Bollar Campus med slät yta. Klubborna säljs även styckvis i blandade färger.;;;;;2,273.86;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601776;
;601779;;Skolgårdsmål Mini;FOTBOLL;;;Other;Skolgårdsmål mini med stålnät;Svartlackerat skolgårdsmål med måtten L 1100 x H 700 mm. Levereras omonterat.;;;;;2,173.82;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601779;
;601783;;Innebandysarg SWERINK Elit;INNEBANDY;;;Floorball;Innebandysarg SWERINK Elit;Swerinks Elitrink har valts till officiell matchsarg av Internationella Innebandyförbundet och Svenska Superligan. Slagtålig ABS-plast, mjuk topplist i plast. Går att reklambeläggas på båda sidorna. Dubbla gummistroppar. Inkl. 2 transport- och förvaringsvagnar.;;;;;81,658.88;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601783;
;601784;;Splitboarder till SWERINK Elit;INNEBANDY;;;Floorball;Splitboarder till SWERINK Elit;Kompletteringsprodukt till Swerink Elitrink. Med hjälp av splitboarder-systemet kan du dela in den stora spelytan i upp till 3 mindre. Innehåller sargdelar för två sargdelare á 20 m. Inkl. 1 transport- och förvaringsvagn.;;;;;46,105.32;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601784;
;601798;;Volleyboll MIKASA MVA 200;BOLLAR;;;Volleyball;Volleyboll MIKASA V200W;En matchboll från Mikasa som ersätter MVA200 som den nya officiella matchbollen på alla internationella tävlingar. Ytan är gjord av sammma material som den gamla MVA200 men man har gjort om designen för att få en stabilare areodynamisk förmåga och ge spelaren bättre kontroll. Design med mer gult och 18-fält skall göra bollen än mer synlig. Vikt: 260-270 gram.;;;;;832.3;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601798;
;601827;;Elkabel till Resultattavla Digita Standard/Pro;RES.ANLÄGG;;;Scoreboards;Elkabel till res.tavla 602980 (340820);Elkabel som kan användas tillsammans med vår storsäljande resultattavla (se art 602980/606139) vid 12 V batteridrift.;;;;;163.18;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601827;
;601951;;PAL-Cone 25-p;FÖRBRUKN;;;Other;PAL-cone 25 st/fp;Golv- och markmarkering med många fördelar jämfört med traditionella konen. Ramlar inte omkull och stör bollbana och spel. Går inte sönder då den trampas på, vilket ger lång livslängd. Glider inte på underlaget. Säljs i 25-pack exkl. hållare som kan köpas separat (se art 601952). Gula. Kan även köpas i 25-pack med hållare (se art 601953).;;;;;574;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/601951;
;601952;;Bygel till PAL-Cone;FÖRBRUKN;;;Storage;Hållare till PAL-cone;Förvaringsbygel till PAL-Cone.;;;;;111.52;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/601952;
;601953;;PAL-Cone 25-p med bygel;FÖRBRUKN;;;Other;PAL-cone 25-p & hållare;Golv- och markmarkering med många fördelar jämfört med traditionella konen. Ramlar inte omkull och stör bollbana och spel. Går inte sönder då den trampas på, vilket ger lång livslängd. Glider inte på underlaget. Säljs i 25-pack på hållare. Gula. Koner i 25 pack (se art 601951) och hållare (se art 601952) kan även köpas var för sig.;;;;;656.82;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/601953;
;602027;;Gummistropp SWERINK;INNEBANDY;;;Floorball;Swerink Gummistropp;;;;;;1,407.94;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/602027;
;602028;;Mothåll gummistropp SWERINK;INNEBANDY;;;Floorball;Swerink Mothåll gummistropp;;;;;;378.02;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/602028;
;602029;;Fäste gummistropp SWERINK;INNEBANDY;;;Floorball;Swerink Fäste gummistropp;;;;;;434.6;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/602029;
;602030;;Styrtapp med nit SWERINK;INNEBANDY;;;Floorball;Swerink Styrtapp inkl nit;;;;;;606.8;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/602030;
;602121;;Skumplastboll COG Light 160 mm;BOLLAR;;;Other;Skumplastboll COG 160mm/100g;Svensktillverkad boll i mjuk foam med skumplastöverdrag av absolut högsta kvalitet. Väger endast 100 g. Mycket bra som inlärningsboll. Diameter 160 mm.;;;;;106.6;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602121;
;602122;;6-pack Tennisboll;TENNIS;;;Tennis;6-pack Tennisboll;;;;;;102.5;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602122;
;602135;;Ansiktsmask baseboll;FÖRBRUKN;;;Icehockey;Ansiktsmask baseboll;Mask för skydd av ansiktet vid basebollspel.;;;;;264.04;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602135;
;602231;;Matta AIREX Coronella 1850;MATTOR;;;Functional training;Airexmatta Coronella Röd m. hål;För massage, skola och gymnastik. 1850x600x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;1,060.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602231;
;602233;;Matta AIREX Corona 1850;MATTOR;;;Functional training;Airexmatta Corona Blå m hål;För fysioterapi, rehabilitering, vattengymnastik och vattenterapi. 1850x1000x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;1,512.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602233;
;602234;;Matta AIREX Fitline 1800;MATTOR;;;Functional training;Airexmatta Fitline Turkos m. hål;1800 x 600 x 10 mm. Kan fås med eller utan hål i 2 färger. Finns även i en kortare modell.;;;;;758.5;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602234;
;602235;;Matta AIREX Fitline 1400;MATTOR;;;Functional training;AirexmattaFitline Turkos m. hål;1400 x 600 x 10 mm. Kan fås med eller utan hål i 2 färger. Finns även i en längre modell.;;;;;637.14;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602235;
;602236;;Matta AIREX Fitness;MATTOR;;;Functional training;Airexmatta Fitness Blå  m. hål;För gymnastik, yoga, aerobic. 1200 x 600 x 15 mm. Blå. Kan fås med eller utan hål.;;;;;758.5;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602236;
;602237;;Matta AIREX Pilates;MATTOR;;;Functional training;Airexmatta Pilates Grå m. hål;För pilates, yoga och aerobic. Grå. 1900 x 600 x 8 mm. Kan fås med eller utan hål.;;;;;858.54;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602237;
;602244;;Matta AIREX Coronella 1850;MATTOR;;;Functional training;Airexmatta Coronella Blå m hål;För massage, skola och gymnastik. 1850x600x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;1,060.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602244;
;602245;;Matta AIREX Corona 1850;MATTOR;;;Functional training;Airexmatta Corona Röd m hål;För fysioterapi, rehabilitering, vattengymnastik och vattenterapi. 1850x1000x15 mm. Kan fås med eller utan hål i röd eller blå.;;;;;1,512.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602245;
;602250;;Hjulsats UNISPORT Lyft 7/9/11;FOTBOLL;;;Football;Hjulsats UNISPORT Lyft 7/9/11;Unisports egna ergonomiska hjulupphängning. Passar våra "7 mot 7", "9 mot 9" samt "11 mot 11"-mål (art 602257, 607526, 602258, 312502, 312512). En sats behövs för en komplett hjulupphängning för ett mål.;;;;;5,049.56;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/602250;
;602253;;Hjulsats UNISPORT Lyft fram;FOTBOLL;;;Football;Hjulsats UNISPORT Lyft fram;Unisports egna ergonomiska hjulupphängning. En sats behövs för 2 stycken främre hjulupphängningar. Passar våra modeller 602257, 607526, 602258, 312502, 312512, 604368, 607525, 607524.;;;;;2,939.70;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/602253;
;602254;;Hjulsats UNISPORT Lyft bak;FOTBOLL;;;Football;Hjulsats UNISPORT Lyft bak;Unisports egna ergonomiska hjulupphängning. En sats behövs för 2 stycken bakre hjulupphängningar. Passar våra modeller 602257, 607526, 602258, 312502, 312512.;;;;;2,449.34;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/602254;
;602257;;Fotbollsmål UNISPORT Lyft 7,32 x 2,44 m;FOTBOLL;;;Football;Fotbollsmål UNISPORT LYFT 7,32 x 2,44 m;Ett av våra mest populära 11 mot 11 fotbollsmål. Inkl. hjulsatsen ”Unisport Lyft”. Kan stå på hjul under träning. Mycket användarvänligt med lyfthandtag både bak och fram. Varmgalvade bakstöd, maximalt rostskydd. Djup 0,8/2,35 m. Exkl. nät som säljs separat.;;;;;13,696.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/602257;
