vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;300461;;Ribbstol RANTZOWS 1-fack;INREDNING;;;Other;Ribbstol RANTZOWS Mellan 2185 mm 1 fack;Finns i 3 modeller. Hög är vår mest populära ribbstol, Mellan används ofta där takhöjden är begränsad och Liten är vanlig i hemmet eller på daghem. Till modellerna Hög och Mellan finns även påbyggnadsfack som tillval.;;;;;3,029.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300461;
;300471;;Ribbstol RANTZOWS 1-fack;INREDNING;;;Other;Ribbstol RANTZOWS Hög 2475 mm 1 fack;Finns i 3 modeller. Hög är vår mest populära ribbstol, Mellan används ofta där takhöjden är begränsad och Liten är vanlig i hemmet eller på daghem. Till modellerna Hög och Mellan finns även påbyggnadsfack som tillval.;;;;;3,230.80;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300471;
;300491;;Ribbstol RANTZOWS Ryggen 1-fack;INREDNING;;;Other;Ribbstol RANTZOWS Ryggen 2475 mm 1 fack;Vår ribbstol Ryggen har en utbyggd övre ribba vilket underlättar när man gör olika övningar, t ex ryggövningar. Höjd: 2475 mm. Bredd: 765 mm. 14 st spolar. Påbyggnadsfack finns enligt offert.;;;;;3,532.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300491;
;300510;;Ribbstolsspegel RANTZOWS Svängbar;INREDNING;;;Other;Ribbstolsspegel RANTZOWS Svängbar;Detta redskap fyller flera funktioner. Infällda fungerar de som vilka ribbstolar som helst samtidigt som de effektivt skyddar speglarna som finns placerade på baksidan. Kan kombineras med spegel på vägg och det går att placera två bredvid varandra.;;;;;22,135.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300510;
;300511;;Ribbstolsspegel RANTZOWS Svängbar;INREDNING;;;Other;Ribbstolsspegel RANTZOWS Svängbar;Detta redskap fyller flera funktioner. Infällda fungerar de som vilka ribbstolar som helst samtidigt som de effektivt skyddar speglarna som finns placerade på baksidan. Kan kombineras med spegel på vägg och det går att placera två bredvid varandra. Finns;;;;;22,135.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300511;
;300515;;Väggspegel RANTZOWS;INREDNING;;;Other;Spegel I Fururam 1590x1490;Spegel monterad på en formstabil spånskiva med en klarlackerad furulist runt om. Höjd: 1590 mm. Finns i 4 bredder.;;;;;5,959.76;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300515;
;300528;;Fällbar scen RANTZOWS Ribbstol;INREDNING;;;Other;Fällbarscen RANTZOWS Ribbstol;En nyutvecklad scentyp som mycket enkelt fälls ner av en person. Framsidan består av två ribbstolar och baksida/scengolv är i klarlackad plywood. Samtliga ståldetaljer är lackerade i vit kulör. Säljs i paket om 1-4 moduler.;;;;;35,172.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300528;
;300529;;Fällbar scen RANTZOWS Ribbstol;INREDNING;;;Other;Fällbarscen RANTZOWS Ribbstol;En nyutvecklad scentyp som mycket enkelt fälls ner av en person. Framsidan består av två ribbstolar och baksida/scengolv är i klarlackad plywood. Samtliga ståldetaljer är lackerade i vit kulör. Säljs i paket om 1-4 moduler.;;;;;50,333.24;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300529;
;300530;;Fällbar scen RANTZOWS Ribbstol;INREDNING;;;Other;Fällbarscen RANTZOWS Ribbstol;En nyutvecklad scentyp som mycket enkelt fälls ner av en person. Framsidan består av två ribbstolar och baksida/scengolv är i klarlackad plywood. Samtliga ståldetaljer är lackerade i vit kulör. Säljs i paket om 1-4 moduler.;;;;;72,770.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300530;
;300531;;Fällbar scen RANTZOWS Ribbstol;INREDNING;;;Other;Fällbarscen RANTZOWS Ribbstol;En nyutvecklad scentyp som mycket enkelt fälls ner av en person. Framsidan består av två ribbstolar och baksida/scengolv är i klarlackad plywood. Samtliga ståldetaljer är lackerade i vit kulör. Säljs i paket om 1-4 moduler.;;;;;20,209.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300531;
