Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,G no pad,,XL,,,33500404-g-no-pad-xl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284560.jpg?v=1632999705,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,G no pad,,XXL,,,33500404-g-no-pad-xxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284560.jpg?v=1632999705,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,G no pad,,XXXL,,,33500404-g-no-pad-xxxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284560.jpg?v=1632999705,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,BL133B no pad,,M,,,33500404-bl133b-no-pad-m,0,shopify,deny,oberlo,377.84,377.84,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284561.jpg?v=1632999702,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,Q no pad,,XXL,,,33500404-q-no-pad-xxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284556.jpg?v=1632999703,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,Q no pad,,XXXL,,,33500404-q-no-pad-xxxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284556.jpg?v=1632999703,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,G no pad,,M,,,33500404-g-no-pad-m,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284560.jpg?v=1632999705,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,G no pad,,L,,,33500404-g-no-pad-l,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284560.jpg?v=1632999705,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad B,,M,,,33500404-with-inner-pad-b-m,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406599.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad B,,L,,,33500404-with-inner-pad-b-l,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406599.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad B,,XL,,,33500404-with-inner-pad-b-xl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406599.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad B,,XXL,,,33500404-with-inner-pad-b-xxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406599.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,with inner pad B,,XXXL,,,33500404-with-inner-pad-b-xxxl,0,shopify,deny,oberlo,515.82,515.82,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1487406599.jpg?v=1632999694,kg,,,
